Year,Macro Stat,User-friendly Stat Name,Code-friendly Stat Name,Code-friendly Stat Name - Year,URL
2019,Off the Tee,% of Yardage Covered by Tee Shots,pct_ydg_tee,pct_ydg_tee_2019,https://www.pgatour.com/content/pgatour/stats/stat.02341.y2019.html
2019,Off the Tee,% of Yardage Covered by Tee Shots - Par 5,pct_ydg_tee_P5,pct_ydg_tee_P5_2019,https://www.pgatour.com/content/pgatour/stats/stat.02343.y2019.html
2019,Off the Tee,% of Yardage Covered by Tee Shots - Par 4,pct_ydg_tee_P4,pct_ydg_tee_P4_2019,https://www.pgatour.com/content/pgatour/stats/stat.02342.y2019.html
2019,Off the Tee,Driving Percentage 320+,driving_320+,driving_320+_2019,https://www.pgatour.com/content/pgatour/stats/stat.496.y2019.html
2019,Approach the Green,Strokes Gained - Approach the Green,SG_approach_green,SG_approach_green_2019,https://www.pgatour.com/content/pgatour/stats/stat.02568.y2019.html
2019,Approach the Green,Greens in Regulation Percentage,GIR_pct,GIR_pct_2019,https://www.pgatour.com/content/pgatour/stats/stat.103.y2019.html
2019,Approach the Green,Greens or Fringe in Regulation Percentage,GOFIR_pct,GOFIR_pct_2019,https://www.pgatour.com/content/pgatour/stats/stat.02437.y2019.html
2019,Approach the Green,Greens in Regulation Percentage from Fairway,GIR_pct_fwy,GIR_pct_fwy_2019,https://www.pgatour.com/content/pgatour/stats/stat.190.y2019.html
2019,Approach the Green,Greens in Regulation Other than Fairway,GIR_pct_not_fwy,GIR_pct_not_fwy_2019,https://www.pgatour.com/content/pgatour/stats/stat.199.y2019.html
2019,Approach the Green,Accuracy from Fairway - Proximity,fwy_prox,fwy_prox_2019,https://www.pgatour.com/content/pgatour/stats/stat.431.y2019.html
2019,Approach the Green,Accuracy from Rough - Proximity,rough_prox,rough_prox_2019,https://www.pgatour.com/content/pgatour/stats/stat.437.y2019.html
2019,Around the Green,Strokes Gained - Around the Green,SG_ATG,SG_ATG_2019,https://www.pgatour.com/content/pgatour/stats/stat.02569.y2019.html
